What is muscle weakness a symptom of?,11,4,14,3,15,3,5,3,6,2,,,,,,,15,1,57,3,378,3,859,3,185,2
How fast does ALS progress? ,9,4,10,2,,,,,,,,,,,,,,,,,,,,,,
What is the definition of ALS?,5,4,6,2,14,4,4,3,,,,,,,,,,,,,,,,,,
When does ALS happen?,7,4,9,3,,,,,,,,,,,,,,,,,,,,,,
What are the symptoms of ALS?,11,4,12,4,10,3,9,2,,,,,,,,,,,,,,,,,,
How old are people that get ALS?,16,4,15,4,9,2,,,,,,,,,,,,,,,,,,,,
How long do people live with ALS?,12,3,16,3,,,,,,,,,,,,,,,,,,,,,,
I have trouble swallowing,8,4,,,,,,,,,,,,,,,,,,,,,,,,
How is ALS diagnosed?,13,4,15,2,,,,,,,,,,,,,,,,,,,,,,
How do I know I have ALS?,13,4,,,,,,,,,,,,,,,,,,,,,,,,
I have trouble breathing.,12,4,11,3,8,3,5,2,,,,,,,,,,,,,,,,,,
Will I die from ALS?,9,4,,,,,,,,,,,,,,,,,,,,,,,,
I can't control my muscles.,11,4,10,4,12,3,8,2,,,,,,,,,,,,,,,,,,
What is the expected lifespan of ALS patients?,9,4,,,,,,,,,,,,,,,,,,,,,,,,
I have muscle weakness,11,4,14,3,5,3,6,1,7,2,9,2,,,,,,,,,,,,,,
What is ALS called Lou Gehrig's disese?,6,4,5,3,7,2,,,,,,,,,,,,,,,,,,,,
What is Lou Gehrig's Disease?,5,4,13,3,14,4,7,2,,,,,,,,,,,,,,,,,,
What causes ALS patients to die? ,8,4,9,3,12,3,14,2,15,2,,,,,,,,,,,,,,,,
What causes muscular weakness in ALS patients?,14,4,5,3,6,2,7,2,8,3,,,,,,,,,,,,,,,,
What does ALS stand for?,5,4,6,2,4,4,8,2,9,2,,,,,,,,,,,,,,,,
Is ALS hereditary?,7,4,5,3,,,,,,,,,,,,,,,,,,,,,,
Is ALS contagious?,7,4,5,3,,,,,,,,,,,,,,,,,,,,,,
Can ALS be tested?,13,4,14,2,7,2,5,2,,,,,,,,,,,,,,,,,,
How many people are diagnosed with ALS each year?,5,4,6,2,7,2,,,,,,,,,,,,,,,,,,,,
Is ALS painful?,11,4,8,3,10,3,,,,,,,,,,,,,,,,,,,,
What are the earliest signs of ALS?,10,4,11,4,12,3,13,2,,,,,,,,,,,,,,,,,,
What age do people get diagnosed with ALS?,7,4,8,3,5,3,,,,,,,,,,,,,,,,,,,,
Are men or women more likely to get diagnosed?,7,4,,,,,,,,,,,,,,,,,,,,,,,,
I have trouble speaking,9,4,,,,,,,,,,,,,,,,,,,,,,,,
I have trouble lifting objects,10,4,9,3,,,,,,,,,,,,,,,,,,,,,,
I have muscle cramps ,11,4,,,,,,,,,,,,,,,,,,,,,,,,
I have muscle twitches,11,4,,,,,,,,,,,,,,,,,,,,,,,,
How are the motor neurons affected in ALS?,14,4,13,4,,,,,,,,,,,,,,,,,,,,,,
What is ALS?,5,4,14,3,,,,,,,,,,,,,,,,,,,,,,
What does ALS cause?,11,4,10,3,12,4,,,,,,,,,,,,,,,,,,,,
What does gradual onset mean?,11,4,10,3,,,,,,,,,,,,,,,,,,,,,,
Does ALS affect your brain?,14,4,10,3,,,,,,,,,,,,,,,,,,,,,,
How bad is ALS?,5,4,9,3,,,,,,,,,,,,,,,,,,,,,,
How does ALS start?,15,4,10,4,9,3,,,,,,,,,,,,,,,,,,,,
Does ALS cause paralysis?,9,4,11,3,,,,,,,,,,,,,,,,,,,,,,
Does ALS run in families?,7,4,,,,,,,,,,,,,,,,,,,,,,,,
Can ALS be cured?,13,4,,,,,,,,,,,,,,,,,,,,,,,,
Who is Lou Gehrig?,5,4,,,,,,,,,,,,,,,,,,,,,,,,
Trouble moving my arms,8,4,11,4,,,,,,,,,,,,,,,,,,,,,,
Breathing difficulties,12,4,8,3,,,,,,,,,,,,,,,,,,,,,,
Is ALS treatable?,13,4,,,,,,,,,,,,,,,,,,,,,,,,
Arm strength ,4,4,,,,,,,,,,,,,,,,,,,,,,,,
Progressive degeneration,4,4,,,,,,,,,,,,,,,,,,,,,,,,
Lapse of control of emotional expressions,2,4,,,,,,,,,,,,,,,,,,,,,,,,
How many people have the disease?,6,4,,,,,,,,,,,,,,,,,,,,,,,,
When does ALS strike?,7,4,6,3,,,,,,,,,,,,,,,,,,,,,,
I have a bad headache.,20,4,,,,,,,,,,,,,,,,,,,,,,,,
I have a huge headache.,20,4,,,,,,,,,,,,,,,,,,,,,,,,
My temples and head hurt.,20,4,21,4,22,3,,,,,,,,,,,,,,,,,,,,
I have blurry vision.,21,4,22,4,,,,,,,,,,,,,,,,,,,,,,
I can't see well,21,4,22,4,,,,,,,,,,,,,,,,,,,,,,
I can't see out of one eye.,21,4,,,,,,,,,,,,,,,,,,,,,,,,
I have double vision,22,4,21,4,,,,,,,,,,,,,,,,,,,,,,
I have jaw pain.,21,4,22,4,,,,,,,,,,,,,,,,,,,,,,
I have had sudden weight loss,21,4,20,3,,,,,,,,,,,,,,,,,,,,,,
I have a cold ,20,4,21,3,22,3,,,,,,,,,,,,,,,,,,,,
I have the flu,20,4,21,3,22,3,,,,,,,,,,,,,,,,,,,,
stiff muscles,30,4,,,,,,,,,,,,,,,,,,,,,,,,
decreased facial expressions,30,4,,,,,,,,,,,,,,,,,,,,,,,,
lightheadedness and fainting when standing,30,4,,,,,,,,,,,,,,,,,,,,,,,,
hypotension,30,4,,,,,,,,,,,,,,,,,,,,,,,,
